Sum_uniform,Sum_exponential,Sum_cauchy
0.605016,1.0347,0.407026
0.529862,0.819492,0.103466
0.465711,0.71149,-0.139716
0.525329,0.85372,0.0968491
0.442115,0.649868,-0.22883
0.569739,0.949149,0.279019
0.501231,0.741928,0.0124322
0.540493,0.814624,0.0976271
0.571099,0.918633,0.266814
0.54534,0.872153,0.205812
0.358308,0.466256,-0.57488
0.451864,0.645152,-0.199977
0.362234,0.472093,-0.539043
0.426617,0.621368,-0.305285
0.573345,0.937057,0.2989
0.507546,0.74637,0.0422672
0.480739,0.678808,-0.080233
0.409092,0.545505,-0.345948
0.490274,0.731574,-0.0408118
0.472673,0.679449,-0.134139
0.543465,0.860791,0.188666
0.506825,0.770502,0.0246116
0.485401,0.75101,-0.0787717
0.533844,0.851564,0.137007
0.49656,0.774299,-0.01151
0.598985,0.996619,0.39854
0.560278,0.884505,0.259184
0.591994,0.958774,0.354559
0.508949,0.789702,0.042413
0.509481,0.807051,0.10958
0.524534,0.831304,0.106322
0.463376,0.680576,-0.139083
0.551904,0.920384,0.25305
0.430835,0.613172,-0.268285
0.488535,0.718677,-0.0473219
0.482594,0.707102,-0.0450671
0.475448,0.703646,-0.0784771
0.560187,0.882493,0.231474
0.528756,0.785751,0.0833827
0.460785,0.666452,-0.136819
0.477804,0.675869,-0.0790713
0.597051,0.968632,0.371252
0.556664,0.842219,0.171751
0.416322,0.595504,-0.313492
0.45459,0.699028,-0.175548
0.439148,0.655324,-0.265632
0.454923,0.630737,-0.186381
0.484594,0.762809,-0.0960205
0.449897,0.627124,-0.191637
0.544378,0.810596,0.15348
0.462674,0.680752,-0.114517
0.507653,0.761467,0.0246646
0.471875,0.705341,-0.104972
0.483692,0.706485,-0.0853443
0.494627,0.72921,-0.0323281
0.603734,0.965614,0.385862
0.560929,0.872027,0.212368
0.491357,0.762676,-0.0460286
0.506665,0.783045,0.0169211
0.480864,0.70789,-0.100546
0.469069,0.70555,-0.132719
0.405823,0.568209,-0.375767
0.413626,0.58217,-0.353107
0.588014,0.958873,0.337265
0.484453,0.716153,-0.0436021
0.606119,0.96623,0.357512
0.442899,0.646259,-0.222608
0.551449,0.874435,0.20141
0.435615,0.632469,-0.267917
0.54542,0.86773,0.181675
0.610449,0.993019,0.420701
0.56315,0.885489,0.246294
0.555349,0.879673,0.244917
0.545154,0.847991,0.177358
0.59384,0.980277,0.36361
0.472418,0.692222,-0.0992432
0.534678,0.803348,0.101659
0.539727,0.842521,0.170339
0.489796,0.721595,-0.0469389
0.440975,0.65218,-0.191521
0.492808,0.735999,-0.0190562
0.513672,0.770275,0.0413627
0.641821,1.09771,0.574339
0.516084,0.795782,0.0601547
0.509457,0.745726,0.0398441
0.529738,0.835558,0.107797
0.546355,0.884523,0.209971
0.515468,0.786474,0.0547276
0.451376,0.622867,-0.175006
0.568169,0.947993,0.284077
0.45392,0.643436,-0.220019
0.481976,0.714712,-0.0865919
0.415388,0.568727,-0.314841
0.544113,0.884739,0.163601
0.514665,0.822819,0.0645176
0.57521,0.963638,0.295567
0.445715,0.671998,-0.238294
0.461853,0.682537,-0.142663
0.515714,0.773882,0.0770888
0.501505,0.792348,0.0160458
0.403852,0.570495,-0.367423
0.481252,0.697163,-0.0934473
0.520652,0.818371,0.101283
0.582908,0.917896,0.304903
0.554679,0.845193,0.208657
0.47352,0.745368,-0.0761573
0.449502,0.635583,-0.247872
0.569996,0.947017,0.317168
0.583031,0.958854,0.313392
0.590145,0.958507,0.339677
0.530455,0.834515,0.13688
0.452598,0.643712,-0.205324
0.530344,0.808197,0.089156
0.480533,0.746743,-0.0727901
0.512643,0.810228,0.0503345
0.53672,0.807848,0.0913083
0.481524,0.739731,-0.0903489
0.550629,0.866983,0.174331
0.472172,0.705811,-0.1253
0.475162,0.729125,-0.0570873
0.437618,0.632063,-0.246077
0.596512,0.937092,0.342756
0.591619,0.992653,0.409448
0.483557,0.71584,-0.0592369
0.520349,0.77955,0.0671015
0.473669,0.671628,-0.13223
0.466159,0.712585,-0.119167
0.522781,0.818747,0.125651
0.590047,0.937922,0.346501
0.39437,0.534602,-0.395501
0.507467,0.756644,0.00105735
0.462889,0.678825,-0.14593
0.338964,0.432009,-0.645745
0.602301,0.990662,0.410508
0.47949,0.686731,-0.0952615
0.482948,0.733894,-0.0528425
0.487451,0.741654,-0.0360832
0.51531,0.808111,0.0882676
0.528179,0.831269,0.108409
0.485389,0.707467,-0.0676
0.580921,0.914479,0.299029
0.573847,0.954198,0.282665
0.460212,0.646021,-0.150134
0.532665,0.833869,0.122557
0.601007,0.996552,0.403498
0.564418,0.952956,0.28297
0.503723,0.763902,0.0259246
0.568287,0.917377,0.282654
0.524789,0.848639,0.144851
0.424039,0.608036,-0.296712
0.447028,0.613399,-0.198808
0.583452,0.921208,0.306638
0.411416,0.591538,-0.339796
0.513474,0.78379,0.0478211
0.539285,0.830864,0.176595
0.414774,0.567097,-0.329882
0.565962,0.898507,0.265591
0.59367,0.976709,0.377413
0.510016,0.756255,0.0276997
0.50779,0.752541,0.0031568
0.56576,0.897848,0.269194
0.531602,0.80908,0.117655
0.422377,0.577783,-0.284864
0.515148,0.811184,0.0737015
0.494984,0.736911,-0.0155968
0.478401,0.722108,-0.0993002
0.438025,0.665036,-0.28138
0.477629,0.736484,-0.103547
0.458693,0.669475,-0.169895
0.524387,0.842559,0.0999578
0.419423,0.578168,-0.307735
0.520328,0.817846,0.0419576
0.478007,0.750884,-0.027016
0.522345,0.78272,0.059308
0.468359,0.707028,-0.146082
0.505576,0.763483,-0.0197965
0.603584,0.988194,0.382724
0.542084,0.851608,0.198208
0.477455,0.688602,-0.0726984
0.51838,0.778278,0.0792037
0.425018,0.658405,-0.331375
0.496059,0.772053,0.00755966
0.454389,0.653479,-0.179156
0.499396,0.7559,0.0128908
0.499231,0.729726,-0.0120304
0.457544,0.67959,-0.153042
0.446537,0.636927,-0.240733
0.52465,0.836772,0.0863197
0.511453,0.785986,0.00600182
0.459559,0.713114,-0.166963
0.446699,0.607538,-0.201863
0.520449,0.791011,0.0664675
0.577779,0.934299,0.322921
0.434484,0.617585,-0.229601
0.45855,0.686326,-0.174544
0.516156,0.796084,0.0807294
0.518828,0.816136,0.0449524
0.530999,0.838209,0.148074
0.383417,0.496663,-0.423435
0.516687,0.81152,0.100085
0.499462,0.74842,0.0101924
0.526721,0.79436,0.102414
0.477963,0.669261,-0.0801067
0.580851,0.967227,0.342127
0.339996,0.459152,-0.655025
0.441617,0.629747,-0.251399
0.545323,0.846679,0.184602
0.540835,0.831139,0.125218
0.459803,0.678762,-0.161955
0.508996,0.779508,0.00786593
0.440199,0.641968,-0.24145
0.512378,0.761999,0.0415015
0.574688,0.907592,0.299818
0.517597,0.829742,0.0843954
0.471395,0.70281,-0.153046
0.484386,0.719442,-0.0768453
0.474879,0.743664,-0.0361562
0.440021,0.614793,-0.241296
0.533252,0.816807,0.129378
0.46096,0.678011,-0.140686
0.520924,0.779558,0.0630184
0.509453,0.772401,0.0243956
0.510386,0.778988,0.0442107
0.458031,0.69749,-0.12819
0.530299,0.848671,0.102436
0.478363,0.707207,-0.0967097
0.45814,0.668291,-0.1699
0.471021,0.691315,-0.0955646
0.647948,1.10149,0.587855
0.489569,0.744369,-0.0679093
0.464076,0.725414,-0.155602
0.549143,0.84584,0.184012
0.519497,0.78906,0.107264
0.451793,0.640968,-0.177459
0.58386,0.971574,0.35248
0.4562,0.68522,-0.131787
0.556299,0.906142,0.203918
0.53852,0.822413,0.112164
0.51782,0.801223,0.102977
0.546956,0.864297,0.173088
0.516988,0.764276,0.0375897
0.520735,0.794971,0.0915552
0.532439,0.812994,0.118163
0.422346,0.585024,-0.315485
0.470645,0.680156,-0.129533
0.560794,0.904756,0.264252
0.474018,0.709966,-0.144575
0.52605,0.791618,0.0601638
0.552186,0.8723,0.222629
0.496422,0.764442,-0.0222261
0.509718,0.772863,0.0144085
0.449144,0.666562,-0.173703
0.631007,1.06787,0.50995
0.610548,0.994039,0.415216
0.504123,0.768866,0.00445992
0.478769,0.689751,-0.0939955
0.489439,0.752982,-0.0385361
0.594402,0.986939,0.404678
0.437498,0.637489,-0.245876
0.48099,0.733922,-0.0797179
0.567995,0.894527,0.250164
0.488016,0.696891,-0.0365519
0.454821,0.674115,-0.194138
0.547208,0.852872,0.156665
0.379877,0.501469,-0.461365
0.584003,0.941376,0.299851
0.582669,0.957026,0.3214
0.637738,1.03809,0.49389
0.427685,0.586301,-0.310337
0.42719,0.61271,-0.261848
0.504015,0.760277,0.0047012
0.585371,0.955276,0.320321
0.510718,0.797153,0.0542127
0.474399,0.709375,-0.11425
0.598936,0.992124,0.399353
0.535938,0.838607,0.16202
0.451757,0.627265,-0.164782
0.555419,0.885997,0.209736
0.502214,0.745427,0.0171395
0.422157,0.566218,-0.297357
0.557648,0.90077,0.210464
0.357883,0.478152,-0.554141
0.556791,0.870757,0.194709
0.491211,0.732794,-0.0309335
0.478522,0.705206,-0.0921818
0.465526,0.68736,-0.0919623
0.55498,0.878721,0.213156
0.57577,0.920256,0.309277
0.545903,0.889567,0.19217
0.450989,0.659213,-0.225046
0.517337,0.819337,0.0653043
0.452356,0.704115,-0.140696
0.550469,0.856206,0.174749
